,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,shieli,0,KZ,1562999878,11,44.18,66.74,98.51,22.37
117,phulabani,92,IN,1562999878,65,20.47,84.23,86.27,9.69
118,deqing,75,CN,1562999878,100,30.54,119.97,73.4,6.71
119,lodja,15,CD,1562999879,85,-3.52,23.6,72.05,2.71
120,bandundu,35,CD,1562999879,65,-3.32,17.38,73.85,1.25
121,kristiansund,75,NO,1562999879,87,63.12,7.73,53.6,11.41
122,grand river south east,0,FR,1562999553,87,48.39,5.49,60.8,3.36
123,clyde river,43,NZ,1562999880,81,-45.19,169.32,51.01,1.99
124,manturovo,82,RU,1562999880,72,58.33,44.76,56.57,3.51
125,faanui,0,PF,1562999881,68,-16.48,-151.75,77.99,4.07
126,sao filipe,100,IN,1562999881,60,20.51,76.21,85.37,13.98
127,kapuskasing,90,CA,1562999881,93,49.42,-82.43,62.6,6.93
128,canton,1,US,1562999882,93,40.8,-81.38,64.4,2.98
129,stange,0,NO,1562999882,72,60.72,11.19,64.0,5.82
130,gela,5,IT,1562999817,69,37.07,14.25,78.01,3.36
131,kenai,90,US,1562999882,82,60.55,-151.26,57.99,12.75
132,norman wells,1,US,1562999883,83,35.22,-97.44,75.0,6.2
133,aksay,80,KZ,1562999679,60,51.17,53.01,81.05,8.66
134,college,75,US,1562999496,100,64.86,-147.8,64.4,2.77
135,ponta delgada,70,BR,1562999868,98,-0.53,-65.05,70.61,2.01
136,upernavik,42,GL,1562999824,86,72.79,-56.15,44.51,14.09
137,emerald,79,AU,1562999884,31,-23.53,148.16,75.2,14.99
138,yakeshi,57,CN,1562999884,42,49.28,120.73,79.97,9.71
139,findlay,1,US,1562999840,82,41.04,-83.65,69.8,3.36
140,alto araguaia,40,US,1562999534,78,31.65,-95.07,79.0,4.7
141,esfahan,20,IR,1562999885,10,32.66,51.68,95.0,11.41
142,manakara,30,MG,1562999885,67,-22.14,48.01,70.25,3.13
143,bowen,99,AU,1562999886,31,-20.01,148.25,77.0,9.17
144,vila franca do campo,0,IT,1562999886,68,45.18,8.4,75.0,4.7
145,port lincoln,72,CD,1562999886,52,-7.04,29.76,69.71,3.96
146,koumac,74,NC,1562999886,73,-20.56,164.28,71.87,8.52
147,nikolskoye,20,RU,1562999887,59,59.7,30.79,60.8,11.18
148,boden,0,SE,1562999887,54,65.83,21.69,55.4,5.82
149,tuatapere,99,NZ,1562999887,90,-46.13,167.69,48.99,1.99
150,dosso,100,NE,1562999888,71,13.05,3.19,79.25,11.88
151,avarua,59,CK,1562999888,77,-21.21,-159.78,69.8,4.7
152,sembakung,20,ID,1562999889,74,3.82,117.25,84.2,6.93
153,bay village,20,PH,1562999889,59,14.18,121.28,91.99,10.29
154,kuytun,96,RU,1562999889,41,54.34,101.51,75.29,4.94
155,eureka,90,US,1562999721,87,40.8,-124.16,61.0,6.93
156,berlevag,86,NO,1562999890,83,70.86,29.09,44.51,5.37
157,polyarnyy,75,RU,1562999891,93,69.2,33.45,44.6,4.47
158,redwater,90,CA,1562999891,77,53.95,-113.11,66.2,12.75
159,dikson,81,RU,1562999891,95,73.51,80.55,32.09,11.61
160,abu kamal,90,JP,1562999892,88,34.51,131.49,71.6,2.24
